year,no,instruction,input,result,isAnswerable,isMultipleChoice,isSingleChoiceSolution
2020,1,"Dialog1 : At Rose's House
              Rose :  Are you superstitious?
              Suda : _1_
              Rose : Er..it's a belief based on fear or false ideas. For example,
                          many people believe that Friday the 13th is an unlucky
                          day. _2_
             Suda : Well, I _3_ I'm a bit superstitious then. I had a car
                         accident last Friday and it was Friday the13th.
             Rose : Did you get hurt?
             Suda : _4_ How about some coffee?
             Rose : _5_","1. I don't agree.
2. I know exactly.
3. What's that?
4. How do you spell it?
5. What's new?",3. What's that?,TRUE,TRUE,TRUE
2020,2,"Dialog1 : At Rose's House
              Rose :  Are you superstitious?
              Suda : _1_
              Rose : Er..it's a belief based on fear or false ideas. For example,
                          many people believe that Friday the 13th is an unlucky
                          day. _2_
             Suda : Well, I _3_ I'm a bit superstitious then. I had a car
                         accident last Friday and it was Friday the13th.
             Rose : Did you get hurt?
             Suda : _4_ How about some coffee?
             Rose : _5_","1. Are you for me?
2. Did you say something?
3. Do you hear me?
4. How do you like it?
5. What do you think?",5. What do you think?,TRUE,TRUE,TRUE
2020,3,"Dialog1 : At Rose's House
              Rose :  Are you superstitious?
              Suda : _1_
              Rose : Er..it's a belief based on fear or false ideas. For example,
                          many people believe that Friday the 13th is an unlucky
                          day. _2_
             Suda : Well, I _3_ I'm a bit superstitious then. I had a car
                         accident last Friday and it was Friday the13th.
             Rose : Did you get hurt?
             Suda : _4_ How about some coffee?
             Rose : _5_","1. don't believe
2. guess
3 can't say
4. promise
5. don't think",2. guess,TRUE,TRUE,TRUE
2020,4,"Dialog1 : At Rose's House
              Rose :  Are you superstitious?
              Suda : _1_
              Rose : Er..it's a belief based on fear or false ideas. For example,
                          many people believe that Friday the 13th is an unlucky
                          day. _2_
             Suda : Well, I _3_ I'm a bit superstitious then. I had a car
                         accident last Friday and it was Friday the13th.
             Rose : Did you get hurt?
             Suda : _4_ How about some coffee?
             Rose : _5_","1. It's better.
2. I'm delighted.
3  Don't be afraid.
4. Not even a scratch.
5. Nothing to lose.",4. Not even a scratch.,TRUE,TRUE,TRUE
2020,5,"Dialog1 : At Rose's House
              Rose :  Are you superstitious?
              Suda : _1_
              Rose : Er..it's a belief based on fear or false ideas. For example,
                          many people believe that Friday the 13th is an unlucky
                          day. _2_
             Suda : Well, I _3_ I'm a bit superstitious then. I had a car
                         accident last Friday and it was Friday the13th.
             Rose : Did you get hurt?
             Suda : _4_ How about some coffee?
             Rose : _5_","1. It doesn't matter.
2. That sounds good.
3. Sooner or later.
4. Yes, we shall.
5. No, I won't.",2. That sounds good.,TRUE,TRUE,TRUE
2020,6,"Dialog 2 : On the coach
                Tourassistant : Ladies and gentlemen. _6_ before we board for
                                         the cruise.
                Tourist :            Sorry to interrupt, but _7_ I can't hear you.
                Tourassistant : Certainly. _8_ to always have your passport with
                                         you or else you won't be allowed to get on the boat.
                 Tourist :           _9_ I don't have my passport. What should I do?
                 Tourassistant : (Sighing) _10_ ..","1. Listen to my description
2. I think it's a good instruction
3. Let me tell you my intention
4. Please declare your subscription
5. I've got some information for you",5. I've got some information for you,TRUE,TRUE,TRUE
2020,7,"Dialog 2 : On the coach
                Tourassistant : Ladies and gentlemen. _6_ before we board for
                                         the cruise.
                Tourist :            Sorry to interrupt, but _7_ I can't hear you.
                Tourassistant : Certainly. _8_ to always have your passport with
                                         you or else you won't be allowed to get on the boat.
                 Tourist :           _9_ I don't have my passport. What should I do?
                 Tourassistant : (Sighing) _10_ ..","1. do you mind making a loud noise?
2. would you like to speak out?
3. could you please speak a little louder?
4. can you lower your volume?
5. do you want to break in?",3. could you please speak a little louder?,TRUE,TRUE,TRUE
2020,8,"Dialog 2 : On the coach
                Tourassistant : Ladies and gentlemen. _6_ before we board for
                                         the cruise.
                Tourist :            Sorry to interrupt, but _7_ I can't hear you.
                Tourassistant : Certainly. _8_ to always have your passport with
                                         you or else you won't be allowed to get on the boat.
                 Tourist :           _9_ I don't have my passport. What should I do?
                 Tourassistant : (Sighing) _10_ ..","1. It's a pleasure
2. It's rather strange
3. How nice of you
4. Don't remember
5. Please be sure",5. Please be sure,TRUE,TRUE,TRUE
2020,9,"Dialog 2 : On the coach
                Tourassistant : Ladies and gentlemen. _6_ before we board for
                                         the cruise.
                Tourist :            Sorry to interrupt, but _7_ I can't hear you.
                Tourassistant : Certainly. _8_ to always have your passport with
                                         you or else you won't be allowed to get on the boat.
                 Tourist :           _9_ I don't have my passport. What should I do?
                 Tourassistant : (Sighing) _10_ ..","1. Hopefully,
2. Truly,
3. Good job!
4. How great!
5. Oh, no!","5. Oh, no!",TRUE,TRUE,TRUE
2020,10,"Dialog 2 : On the coach
                Tourassistant : Ladies and gentlemen. _6_ before we board for
                                         the cruise.
                Tourist :            Sorry to interrupt, but _7_ I can't hear you.
                Tourassistant : Certainly. _8_ to always have your passport with
                                         you or else you won't be allowed to get on the boat.
                 Tourist :           _9_ I don't have my passport. What should I do?
                 Tourassistant : (Sighing) _10_ ..","1. You're so lucky.
2. You made my day.
3. Are you serious?
4. Is it your mistake?
5. Serves you right.",3. Are you serious?,TRUE,TRUE,TRUE
