year,no,instruction,input,result,isAnswerable,isMultipleChoice,isSingleChoiceSolution
2016,1,เรื่องใดที่ศาสนาพุทธและศาสนาพราหมณ์-ฮินดูมีความเชื่อร่วมกัน,1. อาตมัน 2. พรหมลิขิต 3. สังสารวัฏ 4. การนับถือเทพเจ้า 5. กรรมลิขิต,3. สังสารวัฏ,TRUE,TRUE,TRUE
2016,2,เหตุการณ์ใดไม่ได้เกิดขึ้นในวันอาสาฬหบูชา,1. พระโกณฑัญญะได้ดวงตาเห็นธรรม 2. พระรัตนตรัยครบสมบูรณ์ 3. พระพุทธเจ้าทรงแสดงธัมมจักกัปปวัตนสูตร 4. พระพุทธเจ้าทรงแสดงโอวาทปาฏิโมกข์ 5. เป็นวันเกิดพระอริยสงฆ์ขึ้นเป็นครั้งแรกในโลก,4. พระพุทธเจ้าทรงแสดงธัมมจักกัปปวัตสูตร,TRUE,TRUE,TRUE
2016,3,สำนวนข้อใดตรงกับความหมายของสัมมาทิฏฐิ,1. คนดีตกน้ำไม่ไหล 2. ไม่เชื่ออย่าลบหลู่ 3. คนรวยทำอะไรก็ไม่น่าเกลียด 4. สถานการณ์สร้างวีรบุรุษ 5. มีเงินเขานับว่าน้อง,1. คนดีตกน้ำไม่ไหล,TRUE,TRUE,TRUE
2016,4,พิธีที่ชาวคริสต์นิกายโรมันคาทอลิกกินขนมปังและดื่มเหล้าองุ่น ที่บาทหลวงส่งให้เรียกว่าพิธีอะไร,1. ศีลกำลัง 2. ศีลล้างบาป 3. ศีลแก้บาป 4. ศีลมหาสนิท 5. ศีลเจิมผู้ป่วย,4. ศีลมหาสนิท,TRUE,TRUE,TRUE
2016,5,ในการละหมาด ชาวมุสลิมในประเทศไทยจะต้องทำอย่างไร,1. ต้องกระทำอย่างน้อยวันละ 2 เวลา 2. ต้องกระทำตั้งแต่จำความได้เป็นต้นไป 3. ต้องกระทำโดยหันหน้าไปทางทิศตะวันตก 4. ต้องกระทำในมัสยิดหรือศาสนสถานเท่านั้น 5. ต้องกระทำโดยหันหน้าไปทางทิศตะวันออก,3. ต้องกระทำโดยหันหน้าไปทางทิศตะวันตก,TRUE,TRUE,TRUE
2016,6,ความเชื่อของชาวมุสลิมข้อใดที่ใกล้เคียงกับเรื่องกรรมในศาสนาพุทธ,1. ศรัทธาในศาสนทูตและเทวทูต 2. ศรัทธาในกฎสภาวะของพระเจ้า 3. ศรัทธาในวันพิพากษา 4. ศรัทธาในการละหมาด 5. ศรัทธาในเทพเจ้า,3. ศรัทธาในวันพิพากษา,TRUE,TRUE,TRUE
2016,7,คณะนักเรียนควรนำหลักธรรมใดไปประยุกต์ใช้ในการทำงาน ส่วนรวมเพื่อให้เกิดผลสำเร็จอันเป็นประโยชน์ร่วมกัน,1. อุปาสักธรรม 2. ปัญญาวุฒิธรรม 3. อปริหานิยธรรม 4. อริยวัฑฒิธรรม 5. ทิฏฐธัมมิกัตถสังวัตตนิกธรรม,3. อปริหานิยธรรม,TRUE,TRUE,TRUE
2016,8,“คิ้วเห็นเด็กชายต้นหน้าตาน่ารักอยากเข้าไปอุ้ม” ข้อความนี้สอดคล้องกับข้อใด,1. รูป เวทนา 2. รูป เวทนา สัญญา 3. รูป สัญญา สังขาร 4. รูป เวทนา สัญญา สังขาร 5. รูป เวทนา สัญญา สังขาร วิญญาณ,5. รูป เวทนา สัญญา สังขาร วิญญาณ,TRUE,TRUE,TRUE
2016,9,การที่รัฐบาลพยายามแก้ปัญหาการทุจริตฉ้อราษฎร์บังหลวง จัดอยู่ในอริยสัจ 4 ข้อใด,1. ทุกข์ 2. สมุทัย 3. นิโรธ 4. มรรค 5. ทุกข์และสมุทัย,4. มรรค,TRUE,TRUE,TRUE
2016,10,“เป็นคนควรพยายามจนกว่าจะประสบความสำเร็จ” เป็นคำแปลของภาษาบาลีในข้อใด,1. วิริเยน ทุกขมจุเจติ 2. โกธ ฆตวา สุข เสติ 3. ราชานํ มุข มนุสฺสานํ 4. วายเมเถว ปุริโส ยาว อตฺถสฺส นิปฺปทา 5. ปฏิรูปการี ธุรวา อุฏฺฐาตา วินทเต ธน์,4. วายเมเถว ปุริโส ยาว อตฺถสฺส นิปฺปทา,TRUE,TRUE,TRUE
